Code	NCIt Preferred Name	Synonyms
C1178	Tilarginine	L-NMMA|Monomethylarginine|N-Methylarginine|N5-(Methylamidino)-L-ornithine|NG-Monomethyl-L-Arginine|NG-monomethyl-L-arginine|NMA|TILARGININE|Targinine|Tilarginine|omega-N-Monomethylarginine
C117985	Nelipepimut-S	"E75 Peptide|Human Receptor Tyrosine-Protein Kinase erbB-2 (Proto-Oncogene Neu, Tyrosine Kinase- type Cell Surface Receptor HER2, CD340)-(347-355)-Peptide|L-Leucine, L-lysyl-L-isoleucyl-L-phenylalanylglycyl-L-seryl-L-leucyl-L-alanyl-L- phenylalanyl-|NELIPEPIMUT-S|Nelipepimut S|Nelipepimut-S|NeuVax"
C1181	Oxaliplatin	"1-OHP|1-OHP|Ai Heng|Aiheng|DACPLAT|Dacotin|Dacplat|Diaminocyclohexane Oxalatoplatinum|ELOXATIN|Eloxatin|Eloxatin|Eloxatine|JM-83|OXALIPLATIN|Oxalatoplatin|Oxalatoplatin|Oxalatoplatinum|Oxalatoplatinum|Oxaliplatin|Oxaliplatin|Oxaliplatin|RP 54780|RP-54780|SR-96669|[(1R,-2R)-1,2-cyclohexanediamine-N,N'][oxalato (2--)-O,O']platinum|[SP-4-2-(1R-trans)]-(1,2,cyclohexanediamine-N,N')[ethanedioato(2--)-O,O']platinum|oxalato (1R,2R-cyclohexanediamine)platinum(II)|oxalato (trans-l-1,2-diaminocyclohexane)platinum(II)|oxaliplatin|trans-l DACH oxalatoplatinum|trans-l diaminocyclohexane oxalatoplatinum"
C1182	Piroxantrone	"Anthra(1,9-cd)pyrazol-6(2H)-one, 5-((3-aminopropyl)amino)-7,10-dihydroxy-2-(2-((2-hydroxyethyl)amino)ethyl)|CI-942|Oxanthrazole|Oxanthrazole|Oxantrazole|PD-111815|PIROXANTRONE|Piroxantrone|Piroxantrone HCl"
C118281	Anti-Met/EGFR Monoclonal Antibody LY3164530	Anti-Met/EGFR Monoclonal Antibody LY3164530|LY3164530
C118282	Efizonerimod	Efizonerimod|Efizonerimod Alfa|MEDI6383
C118283	OxPhos Inhibitor VLX600	"1-(2-Pyridinyl)ethanone(6-methyl-5H-[1,2,4]triazino[5,6-b]indol-3-yl)hydrazone|OxPhos Inhibitor VLX600|VLX-600"
C118284	Cirmtuzumab	Cirmtuzumab|Cirmtuzumab|UC-961
C118285	FASN Inhibitor TVB-2640	FASN Inhibitor TVB-2640|FASN Inhibitor TVB-2640|TVB-2640
C118287	p97 Inhibitor CB-5083	CB-5083|p97 Inhibitor CB-5083
C118288	Oral Azacitidine	CC-486|Oral Azacitidine
C118289	EGFR Inhibitor AZD3759	AZD3759|EGFR Inhibitor AZD3759|EGFR Inhibitor AZD3759
C118290	Altiratinib	"1,1-Cyclopropanedicarboxamide, N-(4-((2-((cyclopropylcarbonyl)amino)-4-pyridinyl)oxy)-2,5-difluorophenyl)-N'-(4-fluorophenyl)-|ALTIRATINIB|Altiratinib|DCC-2701"
C118292	Cathelicidin LL-37	"Antimicrobial Peptide, Human LLGDFFRKSKEKIGKEFKRIVQRIKDFLRNLVPRTES|Cathelicidin LL-37|Cathelicidin LL-37|LL-37"
C118294	Donafenib	"2-Pyridinecarboxamide, 4-(4-((((4-Chloro-3-(trifluoromethyl)phenyl)amino)carbonyl)amino)phenoxy)-N-(methyl-d3)-|4-(4-((4-Chloro-3-(trifluoromethyl)phenyl)carbamoylamino)phenoxy)-N-(trideuteriomethyl)pyridine-2-carboxamide|CM-4307|CM-4307|Donafenib"
C1183	Ranpirnase	Onconase|Onconase|P-30|P-30 Protein|P-30 Protein|P-30 protein|P30|P30 Protein|RANPIRNASE|RANPIRNASE|Ranpirnase
C118362	Anti-MUC1 Monoclonal Antibody BTH1704	Anti-MUC1 Monoclonal Antibody BTH1704|BTH1704
C118363	Leuprolide Mesylate Injectable Suspension	LMIS|Leuprolide Mesylate Injectable Suspension
C118364	hVEGF26-104/RFASE Peptide Vaccine	hVEGF26-104/RFASE|hVEGF26-104/RFASE Peptide Vaccine
C118365	Ganoderma lucidum Spores Powder Capsule	Ganoderma l. Spores Powder Capsule|Ganoderma lucidum Spores Powder Capsule|Lingzhi Spores Powder Capsule
C118367	NY-ESO-1/MAGE-A4/PRAME/Survivin/SSX2-specific Autologous Cytotoxic T Lymphocytes	Autologous NY-ESO-1/MAGE-A4/PRAME/Survivin/SSX2-specific Cytotoxic T Lymphocytes|NY-ESO-1/MAGE-A4/PRAME/Survivin/SSX2-specific Autologous CTLs|NY-ESO-1/MAGE-A4/PRAME/Survivin/SSX2-specific Autologous Cytotoxic T Lymphocytes|NY-ESO-1/MAGE-A4/PRAME/Survivin/SSX2-specific Autologous Cytotoxic T Lymphocytes
C118368	Anti-OFA Immunotherapeutic BB-MPI-03	Anti-OFA Immunotherapeutic BB-MPI-03|Anti-OFA Immunotherapeutic BB-MPI-03|BB-MPI-03|BBMPI03
C1184	Pancratistatin	Pancratistatin|Pancratistatin
C118442	Anti-gpA33/CD3 Monoclonal Antibody MGD007	Anti-gpA33/CD3 Monoclonal Antibody MGD007|Anti-gpA33/CD3 Monoclonal Antibody MGD007|Humanized gpA33 x CD3 DART (TM) Protein MGD007|MGD007
C118443	Anti-fucosyl-GM1 Monoclonal Antibody BMS-986012	Anti-fucosyl-GM1 Monoclonal Antibody BMS-986012|Anti-fucosyl-GM1 Monoclonal Antibody BMS-986012|BMS-986012
C118444	Gamboge Resin Extract TSB-9-W1	Gamboge Resin Extract TSB-9-W1|TSB-9-W1
C118445	Mycobacterium tuberculosis Arabinomannan Z-100	Mycobacterium tuberculosis Arabinomannan Z-100|Z-100
C118447	Anti-EphA2 Monoclonal Antibody DS-8895a	Anti-EphA2 Monoclonal Antibody DS-8895a|DS-8895a
C11845	MUC1-KLH Vaccine/QS21	MUC1-KLH Vaccine/QS21
C118450	Epothilone Analog UTD1	Epothilone Analog UTD1|UTD1
C118451	Cidan Herbal Capsule	Cidan Herbal Capsule|Zedoary rhizome/Pseudobulbus cremastrae seu pleiones/Yatantzu/Strychni pulveratum/Beehive/Artificial Bezoar/Bombyx mori/Danshen Root/Radix astragali/Angelica/Camphol Alcohol Capsule
C118452	Cannabidiol	"1,3-Benzenediol, 2-(3-methyl-6-(1-methylethenyl)-2-cyclohexen-1-yl)-5-pentyl-, (1R-trans)-|CANNABIDIOL|CBD|Cannabidiol|GWP42003-P"
C118504	Artemether Sublingual Spray	Artemether Sublingual Spray|LON002|Sublingual Artemether Spray
C118568	PI3K Inhibitor ACP-319	ACP-319|PI3K Inhibitor ACP-319|PI3K Inhibitor ACP-319
C118569	Notch Signaling Inhibitor PF-06650808	Notch Signaling Inhibitor PF-06650808|Notch Signaling Inhibitor PF-06650808|PF-06650808
C118570	Antibody-drug Conjugate PF-06664178	Antibody-drug Conjugate PF-06664178|Antibody-drug Conjugate PF-06664178|PF-06664178
C118571	Telisotuzumab Vedotin	ABBV 399|ABBV-399|ABT 399|ABT-399|ABT-700-VCMMAE|TELISOTUZUMAB VEDOTIN|Telisotuzumab Vedotin|Telisotuzumab Vedotin
C118572	Antibody-drug Conjugate PF-06647263	Antibody-drug Conjugate PF-06647263|Antibody-drug Conjugate PF-06647263|PF-06647263
C118573	GS/pan-Notch Inhibitor BMS-986115	BMS-986115|GS/pan-Notch Inhibitor BMS-986115|GS/pan-Notch Inhibitor BMS-986115
C118578	Vanucizumab	"Ang2-VEGF-A CrossMab RO5520985|Immunoglobulin Recombined G1-kappa/lambda, Anti-(Homo sapiens Angpt2 (Angiopoietin 2, Ang2))/Anti-Homo sapiens VEGFa (Vascular Endothelial Growth Factor A, VEGF-a, VEGF)), Humanized Monoclonal Antibody|RG-7221|RG7221|RO-5520985|RO5520985|VANUCIZUMAB|Vanucizumab|Vanucizumab"
C1186	PCNU	"1-(2-Chloroethyl)-3-(2,6-Dioxo-3-Piperidyl)-1-Nitrourea|PCNU|PCNU"
C118621	Ubidecarenone Nanodispersion BPM31510n	BP31510|Coenzyme Q10 Injectable Nanosuspension|Ubidecarenone Injectable Nanosuspension|Ubidecarenone Nanodispersion BPM31510n|Ubiquinone Injectable Nanosuspension
C118623	Lung-targeted Immunomodulator QBKPN	Lung-targeted Immunomodulator QBKPN|QBKPN|SSI QBKPN|Site Specific Immunomodulator QBKPN
C118624	PI3Kalpha Inhibitor AZD8835	AZD8835|PI3Kalpha Inhibitor AZD8835|PI3Kalpha Inhibitor AZD8835
C118625	Activin Type 2B Receptor Fc Fusion Protein STM 434	Activin Inhibitor STM 434|Activin Type 2B Receptor Fc Fusion Protein STM 434|Activin Type 2B Receptor Fc Fusion Protein STM 434|STM 434
C118626	Anti-PSMA/CD3 Monoclonal Antibody MOR209/ES414	Anti-PSMA/CD3 Monoclonal Antibody MOR209/ES414|Anti-PSMA/CD3 Monoclonal Antibody MOR209/ES414|MOR209/ES414
C118627	Ellagic Acid/Annona muricata Supplement	Ellagic Acid/Annona muricata Supplement
C118628	VEGFR/FGFR Inhibitor ODM-203	ODM 203|ODM-203|VEGFR/FGFR Inhibitor ODM-203
C118629	JAK1 Inhibitor INCB052793	INCB052793|JAK1 Inhibitor INCB052793|JAK1 Inhibitor INCB052793
C118648	Nanoparticle-based Paclitaxel Suspension	Nanoparticle-based Paclitaxel Suspension|Nanoparticle-based Paclitaxel Suspension|Nanotax
C118669	MDM2/MDMX Inhibitor ALRN-6924	ALRN-6924|MDM2/MDMX Inhibitor ALRN-6924|MDM2/MDMX Inhibitor ALRN-6924
C118670	Rhenium Re 188 BMEDA-labeled Liposomes	"(188) Re-BMEDA-liposomes|188Re-BMEDA-liposomes|188Re-N,N-bis (2-Mercaptoethyl)-N',N'-diethylethylenediamine-labeled Liposomes|Rhenium Re 188 BMEDA-labeled Liposomes"
C118671	Avitinib Maleate	AC0010 Maleate|AC0010MA|Avitinib Maleate
C118672	FGF/FGFR Pathway Inhibitor E7090	E-7090|E-7090|E7090|FGF/FGFR Pathway Inhibitor E7090
C118674	Trastuzumab Duocarmazine	ADC SYD985|Antibody-drug Conjugate SYD985|SYD985|TRASTUZUMAB DUOCARMAZINE|Trastuzumab Duocarmazine|Trastuzumab Duocarmazine|Trastuzumab VC-seco-DUBA|Trastuzumab-drug Conjugate SYD985|vic-Trastuzumab Duocarmazine
C1187	Penberol	Penberol|Penberol|cis-beta-4-pentoxy-benzoyl-beta-bromoacrylic acid|cis-beta-4-pentoxybenzoyl-beta-bromoacrylic acid
C118776	Ingenol Mebutate Gel	Ingenol Mebutate Gel|Ingenol-3-angelate Gel|PEP-005 Topical Gel|PEP005 Gel|Picato
C118790	Autologous NY-ESO-1-specific CD8-positive T Lymphocytes	Autologous NY-ESO-1-specific CD8-positive T Lymphocytes|Autologous NY-ESO-1-specific CD8-positive T Lymphocytes
C1188	Penclomedine	"3,5-dichloro-2,4-dimethoxy-6-(trichloromethyl) pyridine|CRC 88-04|PEN|PENCLOMEDINE|Penclomedine|Penclomedine|Pyridine, 3,5-dichloro-2,4-dimethoxy-6-(trichloromethyl)-|penclomedine"
C118850	Autologous Anti-HPV-16 E6 T-cell Receptor Gene-engineered Peripheral Blood Lymphocytes	Autologous Anti-HPV-16 E6 T-cell Receptor Gene-engineered Peripheral Blood Lymphocytes|Autologous Anti-HPV-16 E6 T-cell Receptor Gene-engineered Peripheral Blood Lymphocytes|Autologous Anti-HPV-16 E6 TCR Gene-engineered PBLs|Autologous Anti-HPV-16 E6 TCR Gene-engineered Peripheral Blood Lymphocytes
C118851	Autologous IL-2-expressing B-CLL Vaccine	Autologous IL-2-expressing B-CLL Vaccine|Autologous IL-2-expressing B-CLL Vaccine|Autologous IL2-transduced CLL B Cell Vaccine
C118852	Autologous CD40L-expressing B-CLL Vaccine	Autologous CD40L-expressing B-CLL Vaccine|Autologous CD40L-expressing B-CLL Vaccine|Autologous hCD40L-transduced CLL B Cell Vaccine
C1189	Pentamethylmelamine	"1,3,5-Triazine-2,4,6-triamine, N,N,N',N', N''-pentamethyl-, monohydrochloride (9CI)|1,3,5-Triazine-2,4,6-triamine, N,N,N',N', N''-pentamethyl-, monohydrochloride (9CI)|Melamine|Melamine, N2,N2,N4,N4,N6-pentamethyl-, monohydrochloride|N,N,N',N',N""-pentamethyl-1,3,5-triazine|PMM|Pentamethylmelamine|Pentamethylmelamine MonoHCl|Pentamethylmelamine Monohydrochloride|Pentamethylmelamine monoHCl|Pentamethylmelamine monohydrochloride|melamine, N2,N2,N4,N4,N6-pentamethyl-, monohydrochloride"
C118947	RNA Electroporated CD19CAR-CD3zeta-4-1BB-expressing Autologous T-lymphocytes	RNA Anti-CD19 CAR T Cells|RNA Electroporated CD19CAR-CD3zeta-4-1BB-expressing Autologous T-lymphocytes
C118948	NTRK/ROS1 Inhibitor DS-6051b	DS-6051b|NTRK/ROS1 Inhibitor DS-6051b
C118949	Umbilical Cord Blood-derived Natural Killer Cells	Cord Blood NK Cells|Umbilical Cord Blood-derived NK Cells|Umbilical Cord Blood-derived Natural Killer Cells
C118953	HER2-targeting Antibody Fc Fragment FS102	Anti-HER2 FCAB FS102|BMS-986186|FS-102|FS102|Fcab FS102|HER2-targeting Antibody Fc Fragment FS102|HER2-targeting Antibody Fc Fragment FS102
C118956	LMP1/BARF1/EBNA1-specific Cytotoxic T-lymphocytes	LMP1/BARF1/ EBNA1-specific CTLs|LMP1/BARF1/EBNA-1 MABEL CTLs|LMP1/BARF1/EBNA-1 Minimum Anticipated Biological Effect Level Cytotoxic T-lymphocytes|LMP1/BARF1/EBNA1-specific Cytotoxic T-lymphocytes|LMP1/BARF1/EBNA1-specific Cytotoxic T-lymphocytes
C118960	Neoantigen-based Glioblastoma Vaccine	NeoVax (TM) Glioblastoma Vaccine|Neoantigen-based Glioblastoma Vaccine|Neoantigen-based Glioblastoma Vaccine|Personalized Neoantigen Glioblastoma Vaccine
C118972	Annonaceous Acetogenins	Acetogenins|Annonaceous Acetogenins
C118973	Genetically-modified MAGE-A3-expressing MG1 Maraba Virus Vaccine	Genetically-modified MAGE-A3-expressing MG1 Maraba Virus Vaccine|MG1 Maraba/MAGE-A3|MG1MA3
C1190	Phenesterin	"(3-beta)-cholest-5-en-3-ol 4-(bis(2-chloroethyl)amino)benzeneacetate|(4-(bis(2-chloroethyl)amino)phenyl)acetic acid cholesteryl ester|(p-(bis(2-chloroethyl)amino)phenyl) acetate cholesterol|(p-(bis(2-chloroethyl)amino)phenyl)acetic acid cholesteryl ester|5-Cholesten-3-beta-ol 3-(p-(bis(2-chloroethyl)amino)phenyl)acetate|Cholest-5-en-3-ol, (3.beta.)-, 4-[bis(2-chloroethyl)amino]benzeneacetate|Cholest-5-en-3beta-ol 4-(bis(2-chloroethyl)amino)benzeneacetate|Cholesteryl p-bis(2-chloroethyl)aminophenylacetate|Fenesterin|Fenesterin|Fenestrin|Fenestrin|NCI-C01558|NCI-C01558|Phenesterin|Phenesterin|Phenesterine|Phenesterine|p-bis(2-chloroethyl)amino phenylacetate cholesterol"
C119614	MAGE-A3-expressing Adenovirus Type 5 Vaccine	AdMA3|Adenovirus/MAGE-A3|MAGE-A3-expressing Adenovirus Type 5 Vaccine
C119615	Anti-CD20/CD3 Monoclonal Antibody REGN1979	Anti-CD20 x Anti-CD3 Bispecific Monoclonal Antibody REGN1979|Anti-CD20/CD3 Monoclonal Antibody REGN1979|Anti-CD20/CD3 Monoclonal Antibody REGN1979|REGN1979
C119616	hTERT Multipeptide/Montanide ISA-51 VG/Imiquimod Vaccine GX 301	GX 301|GX301|hTERT Multipeptide/Montanide ISA-51 VG/Imiquimod Vaccine GX 301
C119617	Telomerase-specific Type 5 Adenovirus OBP-301	OBP-301|Telomelysin|Telomerase-specific Type 5 Adenovirus OBP-301|Telomerase-specific Type 5 Adenovirus OBP-301
C119618	HIF-2alpha Inhibitor PT2385	HIF-2alpha Inhibitor PT2385|HIF-2alpha Inhibitor PT2385|PT2385
C119619	Anti-C-met Monoclonal Antibody SAIT301	Anti-C-met Monoclonal Antibody SAIT301|SAIT301
C119620	Anti-DLL4/VEGF Bispecific Monoclonal Antibody OMP-305B83	Anti-DLL4/VEGF Bispecific Monoclonal Antibody OMP-305B83|Anti-DLL4/VEGF Bispecific Monoclonal Antibody OMP-305B83|OMP-305B83
C119624	Mutant-selective EGFR Inhibitor PF-06459988	Mutant-selective EGFR Inhibitor PF-06459988|PF-06459988
C119664	Recombinant Human Papillomavirus Nonavalent Vaccine	Gardasil 9|Nonavalent HPV VLP Vaccine|Recombinant HPV Nonavalent Vaccine|Recombinant Human Papillomavirus 9-valent Vaccine|Recombinant Human Papillomavirus Nonavalent Vaccine|Recombinant Human Papillomavirus Nonavalent Vaccine
C119665	Gilteritinib Fumarate	"2-Pyrazinecarboxamide, 6-ethyl-3-((3-methoxy-4-(4-(4-methyl-1-piperazinyl)-1-piperidinyl)phenyl)amino)-5-((tetrahydro-2H-pyran-4-yl)amino)-, (2E)-2-Butenedioate (2:1)|ASP-2215 Hemifumarate|ASP2215 Hemifumarate|GILTERITINIB FUMARATE|Gilteritinib Fumarate|Gilteritinib Fumarate|Gilteritinib Hemifumarate|Xospata"
C1197	Pirarubicin	"(2""R)-4'-O-Tetrahydropyranyladriamycin|(8S,10S)-10-[[3-Amino-2,3,6-trideoxy-4-O-(tetrahydro-2H-pyran-3-yl)-alpha-L-lyxo-hexopyranosyl]oxy]-8-glycoloyl-7,8,9,10-tetrahydro-6,8,11-trihydroxy-1-methoxy-5,12-naphthacenedione|1609RB|4'-O-Tetrahydropyranyl Doxorubicin|PIRARUBICIN|Pinorubicin|Pirarubicin|THP-ADM|THP-ADM|THP-Adriamycin|THP-DOX|THP-Doxorubicin|Tepirubicin|Tetrahydropyranyl-Doxorubicin|Theprubicin|Theprubicine|Therarubicin|[8S-[8Alpha,10alpha(S*)]]-10-[[3-amino-2,3,6-trideoxy-4-O-(tetrahydro-2H-pyran-2-yl)-alpha-L-lyxo-hexopyranosyl]oxy]-7,8,9,10-tetrahydro-6,8,11-trihydroxy-8-(hydroxyacetyl)-1-methoxy-5,12-naphthacenedione"
C119700	Anti-CD37 MMAE Antibody-drug Conjugate AGS67E	AGS67E|Anti-CD37 MMAE ADC AGS67E|Anti-CD37 MMAE Antibody-drug Conjugate AGS67E|Anti-CD37 MMAE Antibody-drug Conjugate AGS67E
C119701	Antroquinonol Capsule	Antroquinonol Capsule|Antroquinonol Capsule|Hocena
C119703	Autologous 4-1BB Selected Tumor Infiltrating Lymphocytes	Autologous 4-1BB Selected Tumor Infiltrating Lymphocytes|Autologous 4-1BB Selected Tumor Infiltrating Lymphocytes|Autologous 4-1BB selected TILs
C119736	Mechlorethamine Hydrochloride Gel	Mechlorethamine HCl Gel|Mechlorethamine Hydrochloride Gel|Valchlor
C119737	hTERT-encoding DNA Vaccine INVAC-1	INVAC-1|hTERT-encoding DNA Vaccine INVAC-1|hTERT-encoding DNA Vaccine INVAC-1
C119738	Yttrium Y 90-DOTA-di-HSG Peptide IMP-288	90-Y-IMP-288|90Y-IMP288|Yttrium Y 90-DOTA-di-HSG Peptide IMP-288
C119739	Immunotoxin D2C7-(scdsFv)-PE38KDEL	D2C7-(scdsFv)-PE38KDEL|D2C7-(scdsFv)-PE38KDEL Immunotoxin|Immunotoxin D2C7-(scdsFv)-PE38KDEL|Immunotoxin D2C7-(scdsFv)-PE38KDEL
C119740	Selicrelumab	RO7009789|SELICRELUMAB|Selicrelumab|Selicrelumab
C119741	ChiNing Decoction	ChiNing Decoction
C119743	Uproleselan	GMI-1271|UPROLESELAN|Uproleselan|Uproleselan
C119744	Burosumab	Anti-FGF23 IgG1 Monoclonal Antibody KRN23|BUROSUMAB|Burosumab|KRN23|UX023
C119745	Globo H-DT Vaccine OBI-833	Globo H-CRM197 Vaccine|Globo H-DT Vaccine OBI-833|OBI-833
C119746	Autologous CD171-specific CAR-CD28 zeta-4-1-BB-EGFRt-expressing T Lymphocytes	Autologous CD171-specific CAR-CD28 zeta-4-1-BB-EGFRt-expressing T Lymphocytes|Autologous CD171-specific CAR-CD28 zeta-4-1-BB-EGFRt-expressing T Lymphocytes|CD171 CAR+ T Cells|CE7R CAR T Cells
C119747	ERK Inhibitor CC-90003	CC-90003|ERK Inhibitor CC-90003|ERK Inhibitor CC-90003
C119759	Allogeneic Cellular Vaccine 1650-G	1650-G|1650-G Vaccine|1650G|Allogeneic Cellular Vaccine 1650-G|Allogeneic Cellular Vaccine 1650-G
C1198	Poly ICLC	Hiltonol|Poly I:Poly C with Poly-L-Lysine Stabilizer|Poly ICLC|Poly ICLC|Poly ICLC|PolyI:PolyC with Poly-L-Lysine Stabilizer|Polyinosinic-Polycytidylic Acid Stabilized with Polylysine and Carboxymethylcellulose|Polyriboinosinic-Polyribocytidylic Acid-Polylysine Carboxymethylcellulose|Stabilized Polyriboinosinic/Polyribocytidylic Acid|poly-ICLC
C1200	Pegaspargase	(Monomethoxypolyethylene Glycol Succinimidyl)74-L-Asparaginase|L-Asparaginase with Polyethylene Glycol|Oncaspar|Oncaspar|Oncaspar-IV|Oncaspar-IV|PEG-Asparaginase|PEG-L-Asparaginase|PEG-L-Asparaginase (Enzon - Kyowa Hakko)|PEG-asparaginase|PEGASPARGASE|PEGLA|Pegaspargase|Pegaspargase|Polyethylene Glycol L-Asparaginase|Polyethylene Glycol-L-Asparaginase|pegaspargase
C120001	CXCR2-transduced Autologous Tumor Infiltrating Lymphocytes	CXCR2-transduced Autologous TILs|CXCR2-transduced Autologous Tumor Infiltrating Lymphocytes|CXCR2-transduced Autologous Tumor Infiltrating Lymphocytes
C120035	Anti-CD22-CAR m971-BBz Lentiviral Vector-transduced Autologous T Lymphocytes	Anti-CD22-CAR m971-BBz Cells|Anti-CD22-CAR m971-BBz Lentiviral Vector-transduced Autologous T Lymphocytes|Anti-CD22-CAR m971-BBz Lentiviral Vector-transduced Autologous T Lymphocytes
C120036	Nedisertib	"(S)-[2-chloro-4-fluoro-5-(7-morpholin-4-ylquinazolin-4-yl)phenyl]-(6-methoxypyridazin-3-yl)methanol|3-Pyridazinemethanol, alpha-(2-Chloro-4-fluoro-5-(7-(4-morpholinyl)-4-quinazolinyl)phenyl)-6-methoxy-, (alphaS)-|M 3814|M-3814|M3814|MSC 2490484A|MSC-2490484A|MSC2490484A|NEDISERTIB|Nedisertib|Nedisertib"
C120037	Selective Estrogen Receptor Degrader SRN-927	SERD SRN-927|SRN-927|Selective Estrogen Receptor Degrader SRN-927|Selective Estrogen Receptor Degrader SRN-927
C120039	Antigen-targeted Personalized Breast Cancer Vaccine	Antigen-targeted Personalized Breast Cancer Vaccine|IVAC_W_bre1_uID
C120040	Bemarituzumab	BEMARITUZUMAB|Bemarituzumab|Bemarituzumab|FPA144
C120041	Anti-OX40 Monoclonal Antibody MEDI0562	Anti-OX40 Monoclonal Antibody MEDI0562|Anti-OX40 Monoclonal Antibody MEDI0562|MEDI-0562|MEDI0562
C120042	Eicosapentaenoic Acid-enriched Nutritional Supplement	EPA-enriched Nutritional Supplement|Eicosapentaenoic Acid-enriched Nutritional Supplement
C120068	Anti-CEACAM6 AFAIKL2 Antibody Fragment/Jack Bean Urease Immunoconjugate L-DOS47	Anti-CEACAM6 AFAIKL2 Antibody Fragment/Jack Bean Urease Immunoconjugate L-DOS47|Anti-CEACAM6 AFAIKL2 Antibody Fragment/Jack Bean Urease Immunoconjugate L-DOS47|L-DOS47
C120097	Cibisatamab	Cibisatamab|Cibisatamab|RG-7802|RG7802|RO-6958688|RO6958688|WHO 10636
C120099	Tegafur-Gimeracil-Oteracil Potassium-Leucovorin Calcium Oral Formulation	TAS-118|Tegafur-Gimeracil-Oteracil Potassium-Leucovorin Calcium Oral Formulation
C1201	Polysialic Acid	Polysialic Acid
C120101	Src/tubulin Inhibitor KX02	KX02|KX2-361|Src/tubulin Inhibitor KX02|Src/tubulin Inhibitor KX02
C120102	FGFR4 Inhibitor FGF401	FGF401|FGFR4 Inhibitor FGF401|FGFR4 Inhibitor FGF401
C120103	Listeria monocytogenes-LLO-PSA Vaccine ADXS31-142	ADXS-PSA|ADXS31-142|Listeria monocytogenes-LLO-PSA Vaccine ADXS31-142|Listeria monocytogenes-LLO-PSA Vaccine ADXS31-142|Lm-LLO-PSA
C120118	Synthetic hTERT DNA Vaccine INO-1400	INO-1400|Synthetic hTERT DNA Vaccine INO-1400|Synthetic hTERT DNA Vaccine INO-1400
C120121	Branched-chain Amino Acid Supplement	BCAA Supplement|Branched-chain Amino Acid Supplement
C120129	NY-ESO-1/MART-1 Peptide-pulsed Dendritic Cell Vaccine	NY-ESO-1/MART-1 Peptide-pulsed DC Vaccine|NY-ESO-1/MART-1 Peptide-pulsed Dendritic Cell Vaccine
C120140	Anti-CD40L Fc-Fusion Protein BMS-986004	Anti-CD40L Fc-Fusion Protein BMS-986004|Anti-CD40L Fc-Fusion Protein BMS-986004|BMS-986004|BMS986004|Fc-Fusion Protein BMS986004
C120183	Melapuldencel-T	Autologous DCs Loaded with Irradiated Autologous Tumor Cells in GM-CSF|Autologous Dendritic Cells Loaded with Irradiated Autologous Tumor Cells in Granulocyte-macrophage Colony-stimulating Factor|DC-TC|Melapuldencel-T|Melapuldencel-T
C120185	WT1 Peptide-loaded Allogeneic Dendritic Cell Vaccine	WT1 Peptide-loaded Allogeneic DC Vaccine|WT1 Peptide-loaded Allogeneic Dendritic Cell Vaccine|WT1 Peptide-loaded Allogeneic Dendritic Cell Vaccine|Wilms Tumor 1 Peptide-loaded Allogeneic Dendritic Cell Vaccine
C120207	Shu Yu Wan Formula	Pill of Chinese Yam|Shu Yu Wan|Shu Yu Wan Formula|Shuyu Wan
C120208	Monalizumab	"IPH-2201|IPH2201|Immunoglobulin G4-kappa, Anti-(Homo sapiens KLRC1 (Killer Cell Lectin-like Receptor Subfamily C Member 1, NKG2-a, NKG2a, CD159A, CD94)), Humanized Monoclonal Antibody|MONALIZUMAB|Monalizumab|NN-8765|NN8765|NN8765-3658"
C120209	FLT3/CDK4/6 Inhibitor FLX925	FLT3/CDK4/6 Inhibitor FLX925|FLT3/CDK4/6 Inhibitor FLX925|FLX925
C120210	Src Kinase Inhibitor KX2-391 Ointment	KX2 391 Ointment|KX2-391 Ointment|Src Kinase Inhibitor KX2-391 Ointment
C120211	Elacestrant	"(6R)-6-(2-(Ethyl((4-(2- (ethylamino)ethyl)phenyl)methyl)amino)-4-methoxyphenyl)- 5,6,7,8-tetrahydronaphthalen-2-ol|ELACESTRANT|ER-306323|Elacestrant|Elacestrant|RAD1901|SERD/SERM RAD1901"
C120213	DPT/BCG/Measles/Serratia/Pneumococcus Vaccine	DPT/BCG/Measles/Serratia/Pneumococcus Vaccine|G250 Peptide Vaccine
C120214	DPT/Typhoid/Staphylococcus aureus/Paratyphoid A/Paratyphoid B Vaccine	DPT/Typhoid/Staphylococcus aureus/Paratyphoid A/Paratyphoid B Vaccine
C120259	Palbociclib Isethionate	"6-Acetyl-8-cyclopentyl-5-methyl-2-((5-(piperazin-1-yl)pyridin-2-yl)amino(pyrido(2,3-d)pyrimidin-7(8h)-one mono(2-hydroxyethanesulfonate)|PALBOCICLIB ISETHIONATE|PD 0332991-0054|PF-00080665-73|Palbociclib Isethionate|Palbociclib Isethionate"
C120302	CCR2 Antagonist CCX872-B	CCR2 Antagonist CCX872-B|CCR2 Antagonist CCX872-B|CCX872-B
C120303	Anti-mesothelin Antibody-drug Conjugate BMS-986148	Anti-mesothelin Antibody-drug Conjugate BMS-986148|Anti-mesothelin Antibody-drug Conjugate BMS-986148|BMS-986148
C120304	CYP17/Androgen Receptor Inhibitor ODM 204	CYP17/Androgen Receptor Inhibitor ODM 204|ODM 204|ODM-204
